t_nsec,t_sec,header.frame_id,header.stamp.nanosec,header.stamp.sec,poses
1770511837376018946,1770511837.376019,world,375768429,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6616692543029785,""y"":0.8235705494880676,""z"":0.07773002982139587},""orientation"":{""x"":0.023509182035923004,""y"":0.0009216691250912845,""z"":-0.02998221665620804,""w"":0.9992734789848328}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.7735438346862793,""y"":0.8768539428710938,""z"":1.0904641151428223},""orientation"":{""x"":0.0025402214378118515,""y"":-0.001110298209823668,""z"":0.03419603779911995,""w"":0.9994112849235535}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10731616616249084,""y"":0.5078438520431519,""z"":0.8173069953918457},""orientation"":{""x"":0.021370621398091316,""y"":-0.004733816720545292,""z"":0.0968005582690239,""w"":0.995063066482544}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.5229588747024536,""y"":0.7827115654945374,""z"":1.1107054948806763},""orientation"":{""x"":0.004888091702014208,""y"":0.027823254466056824,""z"":-0.22856537997722626,""w"":0.9731186032295227}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.442535161972046,""y"":-0.5744576454162598,""z"":1.2730299234390259},""orientation"":{""x"":-0.03754769638180733,""y"":0.006533430889248848,""z"":0.8692805171012878,""w"":-0.492847740650177}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.211955726146698,""y"":-1.1499311923980713,""z"":1.104454755783081},""orientation"":{""x"":-0.032689955085515976,""y"":0.003869864856824279,""z"":0.9699661731719971,""w"":-0.24100205302238464}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.672763705253601,""y"":-0.943859875202179,""z"":0.19920362532138824},""orientation"":{""x"":-0.028330141678452492,""y"":-0.031264230608940125,""z"":0.9990463256835938,""w"":-0.011244682595133781}}}]"
1770511837385998690,1770511837.3859985,world,385798305,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6622209548950195,""y"":0.824967622756958,""z"":0.07873166352510452},""orientation"":{""x"":0.02533005364239216,""y"":0.013389235362410545,""z"":-0.03747124597430229,""w"":0.9988868832588196}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.7735377550125122,""y"":0.876854658126831,""z"":1.090466022491455},""orientation"":{""x"":0.0025177872739732265,""y"":-0.0011562523432075977,""z"":0.03416730463504791,""w"":0.9994122982025146}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10722538828849792,""y"":0.5078853964805603,""z"":0.8173667788505554},""orientation"":{""x"":0.021190514788031578,""y"":-0.004764497745782137,""z"":0.09669652581214905,""w"":0.9950768947601318}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.522976279258728,""y"":0.7826789021492004,""z"":1.1107194423675537},""orientation"":{""x"":0.00499446177855134,""y"":0.027874575927853584,""z"":-0.2286369949579239,""w"":0.9730997681617737}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.442654848098755,""y"":-0.5743892192840576,""z"":1.2730793952941895},""orientation"":{""x"":-0.037911467254161835,""y"":0.006375419907271862,""z"":0.8692644834518433,""w"":-0.4928501844406128}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.21194666624069214,""y"":-1.1499255895614624,""z"":1.104445219039917},""orientation"":{""x"":-0.03266141191124916,""y"":0.003867013845592737,""z"":0.969960629940033,""w"":-0.2410283237695694}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.672849178314209,""y"":-0.9438289999961853,""z"":0.19914047420024872},""orientation"":{""x"":-0.028370903804898262,""y"":-0.031216971576213837,""z"":0.9990459084510803,""w"":-0.011306668631732464}}}]"
1770511837395947018,1770511837.395947,world,395756106,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6567764282226562,""y"":0.8291122317314148,""z"":0.06975219398736954},""orientation"":{""x"":0.01670852303504944,""y"":0.0019775405526161194,""z"":-0.03736021742224693,""w"":0.9991602301597595}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.7735340595245361,""y"":0.8768446445465088,""z"":1.0904738903045654},""orientation"":{""x"":0.0025348213966935873,""y"":-0.0011682905023917556,""z"":0.034188412129879,""w"":0.9994115233421326}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10724989324808121,""y"":0.5078678727149963,""z"":0.8173321485519409},""orientation"":{""x"":0.02124447375535965,""y"":-0.004587341099977493,""z"":0.09665680676698685,""w"":0.9950804710388184}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.5229889154434204,""y"":0.7826772928237915,""z"":1.110724925994873},""orientation"":{""x"":0.004977806005626917,""y"":0.027872640639543533,""z"":-0.2286246120929718,""w"":0.9731028079986572}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.4426426887512207,""y"":-0.5743715763092041,""z"":1.2730845212936401},""orientation"":{""x"":-0.037987273186445236,""y"":0.0063370042480528355,""z"":0.8692859411239624,""w"":-0.4928070604801178}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.21205061674118042,""y"":-1.1500372886657715,""z"":1.104506254196167},""orientation"":{""x"":-0.03302527964115143,""y"":0.004037600010633469,""z"":0.9699628949165344,""w"":-0.24096687138080597}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.6728907823562622,""y"":-0.943873405456543,""z"":0.19916023313999176},""orientation"":{""x"":-0.028509892523288727,""y"":-0.03129855543375015,""z"":0.999039888381958,""w"":-0.01126383151859045}}}]"
1770511837403981686,1770511837.4039817,world,403790544,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6576833724975586,""y"":0.8301316499710083,""z"":0.07006721943616867},""orientation"":{""x"":0.02295736037194729,""y"":-0.05782647430896759,""z"":-0.028455542400479317,""w"":0.9976569414138794}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.773592233657837,""y"":0.8768481016159058,""z"":1.090442419052124},""orientation"":{""x"":0.002574584214016795,""y"":-0.001187977148219943,""z"":0.033888041973114014,""w"":0.9994215965270996}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10739337652921677,""y"":0.5078794956207275,""z"":0.8175309300422668},""orientation"":{""x"":0.02131274901330471,""y"":-0.004956190008670092,""z"":0.0967758521437645,""w"":0.9950656294822693}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.5230026245117188,""y"":0.7826796174049377,""z"":1.1107285022735596},""orientation"":{""x"":0.004946132190525532,""y"":0.027875050902366638,""z"":-0.22864581644535065,""w"":0.9730979204177856}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.442650318145752,""y"":-0.5743712782859802,""z"":1.273072361946106},""orientation"":{""x"":-0.038033224642276764,""y"":0.006319839507341385,""z"":0.8693324327468872,""w"":-0.49272164702415466}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.21197731792926788,""y"":-1.1499438285827637,""z"":1.1044589281082153},""orientation"":{""x"":-0.032672666013240814,""y"":0.00384859018959105,""z"":0.9699587821960449,""w"":-0.2410346418619156}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.6729203462600708,""y"":-0.9438492655754089,""z"":0.19921423494815826},""orientation"":{""x"":-0.028748564422130585,""y"":-0.031245721504092216,""z"":0.9990345239639282,""w"":-0.01128230057656765}}}]"
1770511837416058974,1770511837.4160588,world,415913232,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6583266258239746,""y"":0.8316198587417603,""z"":0.07052475214004517},""orientation"":{""x"":-0.0020519066601991653,""y"":-0.058946605771780014,""z"":-0.04691045358777046,""w"":0.9971562027931213}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.7735227346420288,""y"":0.8768433332443237,""z"":1.0904643535614014},""orientation"":{""x"":0.0025202997494488955,""y"":-0.001109841512516141,""z"":0.034231219440698624,""w"":0.9994101524353027}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10726910084486008,""y"":0.5078933835029602,""z"":0.8173486590385437},""orientation"":{""x"":0.021305445581674576,""y"":-0.004544139839708805,""z"":0.09671609848737717,""w"":0.9950735569000244}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.5230035781860352,""y"":0.7826801538467407,""z"":1.1107404232025146},""orientation"":{""x"":0.004952858202159405,""y"":0.027879107743501663,""z"":-0.22863692045211792,""w"":0.9730998873710632}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.4426612854003906,""y"":-0.574375331401825,""z"":1.2731149196624756},""orientation"":{""x"":-0.03811664134263992,""y"":0.006267705000936985,""z"":0.8693751096725464,""w"":-0.4926406145095825}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.2119724601507187,""y"":-1.1499382257461548,""z"":1.1044930219650269},""orientation"":{""x"":-0.032705895602703094,""y"":0.003850033972412348,""z"":0.9699591398239136,""w"":-0.24102848768234253}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.6728432178497314,""y"":-0.9439021348953247,""z"":0.19928348064422607},""orientation"":{""x"":-0.028283726423978806,""y"":-0.031465496867895126,""z"":0.999042809009552,""w"":-0.011112041771411896}}}]"
1770511837426024666,1770511837.4260247,world,425872748,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.659424066543579,""y"":0.8324139714241028,""z"":0.07304493337869644},""orientation"":{""x"":0.036032453179359436,""y"":0.01935085467994213,""z"":-0.026623299345374107,""w"":0.9988085031509399}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.7736557722091675,""y"":0.8768602013587952,""z"":1.0903549194335938},""orientation"":{""x"":0.002711575012654066,""y"":-0.001210676971822977,""z"":0.03356635570526123,""w"":0.9994320869445801}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10725216567516327,""y"":0.5079154372215271,""z"":0.8173858523368835},""orientation"":{""x"":0.021178413182497025,""y"":-0.004707075655460358,""z"":0.09674642980098724,""w"":0.995072603225708}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.5229949951171875,""y"":0.7826683521270752,""z"":1.1107653379440308},""orientation"":{""x"":0.004997181706130505,""y"":0.02784332074224949,""z"":-0.2286527454853058,""w"":0.9730969667434692}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.442660331726074,""y"":-0.5743502378463745,""z"":1.273120403289795},""orientation"":{""x"":-0.03815936669707298,""y"":0.0062405699864029884,""z"":0.8694292902946472,""w"":-0.49254199862480164}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.21198680996894836,""y"":-1.1499378681182861,""z"":1.1044886112213135},""orientation"":{""x"":-0.03264483064413071,""y"":0.0038351768162101507,""z"":0.9699563384056091,""w"":-0.24104826152324677}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.6730384826660156,""y"":-0.9439464211463928,""z"":0.19915784895420074},""orientation"":{""x"":-0.02843639627099037,""y"":-0.031471461057662964,""z"":0.9990376830101013,""w"":-0.011164703406393528}}}]"
1770511837436064249,1770511837.4360642,world,435872720,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6609723567962646,""y"":0.833774745464325,""z"":0.07501468807458878},""orientation"":{""x"":0.04171866178512573,""y"":-0.0007817966979928315,""z"":-0.025023818016052246,""w"":0.998815655708313}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.7735339403152466,""y"":0.8768503069877625,""z"":1.090469241142273},""orientation"":{""x"":0.00250120903365314,""y"":-0.0011479025706648827,""z"":0.03416350111365318,""w"":0.999412477016449}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10728593170642853,""y"":0.507896900177002,""z"":0.8173640966415405},""orientation"":{""x"":0.021290184929966927,""y"":-0.0044811926782131195,""z"":0.09671423584222794,""w"":0.9950743913650513}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.5230063199996948,""y"":0.7826715111732483,""z"":1.1107829809188843},""orientation"":{""x"":0.004989102482795715,""y"":0.02783524990081787,""z"":-0.22864976525306702,""w"":0.9730979204177856}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.44266414642334,""y"":-0.5743441581726074,""z"":1.2731225490570068},""orientation"":{""x"":-0.03815694525837898,""y"":0.006242252886295319,""z"":0.869490921497345,""w"":-0.4924333691596985}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.21206361055374146,""y"":-1.1500202417373657,""z"":1.1044907569885254},""orientation"":{""x"":-0.03279901295900345,""y"":0.0040553295984864235,""z"":0.9699382781982422,""w"":-0.24109649658203125}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.6730434894561768,""y"":-0.9438838958740234,""z"":0.19926504790782928},""orientation"":{""x"":-0.029417142271995544,""y"":-0.031211737543344498,""z"":0.9990149140357971,""w"":-0.01138816773891449}}}]"
1770511837446058716,1770511837.4460588,world,445856776,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6609272956848145,""y"":0.8350752592086792,""z"":0.07502951472997665},""orientation"":{""x"":0.02593163028359413,""y"":0.016682356595993042,""z"":-0.03693833947181702,""w"":0.9988417625427246}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.7735140323638916,""y"":0.8768444061279297,""z"":1.0904533863067627},""orientation"":{""x"":0.002536166226491332,""y"":-0.0010958872735500336,""z"":0.0342307984828949,""w"":0.9994101524353027}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10728616267442703,""y"":0.5079815983772278,""z"":0.8174698352813721},""orientation"":{""x"":0.021317897364497185,""y"":-0.004564210772514343,""z"":0.09678638726472855,""w"":0.9950664043426514}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.5230060815811157,""y"":0.7826736569404602,""z"":1.1107728481292725},""orientation"":{""x"":0.004985196050256491,""y"":0.02785801887512207,""z"":-0.22865226864814758,""w"":0.9730967283248901}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.4426887035369873,""y"":-0.5743322372436523,""z"":1.2731294631958008},""orientation"":{""x"":-0.03819628059864044,""y"":0.006258855108171701,""z"":0.8695359826087952,""w"":-0.49235057830810547}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.2119615525007248,""y"":-1.1499313116073608,""z"":1.1044697761535645},""orientation"":{""x"":-0.032685477286577225,""y"":0.003854498267173767,""z"":0.9699592590332031,""w"":-0.24103087186813354}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.6730806827545166,""y"":-0.9439789652824402,""z"":0.19924135506153107},""orientation"":{""x"":-0.028917809948325157,""y"":-0.0315970778465271,""z"":0.9990195035934448,""w"":-0.011198700405657291}}}]"
1770511837456393041,1770511837.456393,world,456218021,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6628105640411377,""y"":0.8364953994750977,""z"":0.07746411859989166},""orientation"":{""x"":0.046037040650844574,""y"":0.006449087988585234,""z"":-0.022116031497716904,""w"":0.9986740350723267}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.7735127210617065,""y"":0.8768433928489685,""z"":1.0904617309570312},""orientation"":{""x"":0.002524123527109623,""y"":-0.0010724588064476848,""z"":0.03420111909508705,""w"":0.9994112253189087}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10728272795677185,""y"":0.5079066157341003,""z"":0.8173463344573975},""orientation"":{""x"":0.021266674622893333,""y"":-0.0044757830910384655,""z"":0.09675339609384537,""w"":0.9950711131095886}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.523014783859253,""y"":0.7826884388923645,""z"":1.1107497215270996},""orientation"":{""x"":0.004939446225762367,""y"":0.02787996642291546,""z"":-0.22866202890872955,""w"":0.9730940461158752}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.4427030086517334,""y"":-0.5743139386177063,""z"":1.273127794265747},""orientation"":{""x"":-0.03819355368614197,""y"":0.006254451349377632,""z"":0.8695669174194336,""w"":-0.49229612946510315}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.21196773648262024,""y"":-1.1499192714691162,""z"":1.104449987411499},""orientation"":{""x"":-0.03265826776623726,""y"":0.0038768001832067966,""z"":0.9699514508247375,""w"":-0.2410656213760376}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.673180103302002,""y"":-0.9438474178314209,""z"":0.19921700656414032},""orientation"":{""x"":-0.029422681778669357,""y"":-0.03123600035905838,""z"":0.9990133047103882,""w"":-0.011448005214333534}}}]"
1770511837466082351,1770511837.4660823,world,465885458,1770511837,"[{""name"":""cf1"",""pose"":{""position"":{""x"":-2.6628217697143555,""y"":0.8377249240875244,""z"":0.07715404778718948},""orientation"":{""x"":0.017919259145855904,""y"":0.005155647173523903,""z"":-0.041265543550252914,""w"":0.9989742040634155}}},{""name"":""gate_1"",""pose"":{""position"":{""x"":-1.773539423942566,""y"":0.87685227394104,""z"":1.0904045104980469},""orientation"":{""x"":0.0026328556705266237,""y"":-0.0011128040496259928,""z"":0.03399161621928215,""w"":0.9994180202484131}}},{""name"":""gate_2"",""pose"":{""position"":{""x"":-0.10728856921195984,""y"":0.5079471468925476,""z"":0.8174149990081787},""orientation"":{""x"":0.0213659405708313,""y"":-0.004400230944156647,""z"":0.0967702716588974,""w"":0.9950676560401917}}},{""name"":""gate_3"",""pose"":{""position"":{""x"":1.5230205059051514,""y"":0.7826709747314453,""z"":1.1107349395751953},""orientation"":{""x"":0.004973513539880514,""y"":0.027868743985891342,""z"":-0.22867104411125183,""w"":0.9730920791625977}}},{""name"":""gate_4"",""pose"":{""position"":{""x"":2.442728281021118,""y"":-0.574292778968811,""z"":1.2731194496154785},""orientation"":{""x"":-0.03814120963215828,""y"":0.006282208487391472,""z"":0.8695823550224304,""w"":-0.49227258563041687}}},{""name"":""gate_5"",""pose"":{""position"":{""x"":0.21197518706321716,""y"":-1.1499601602554321,""z"":1.1045433282852173},""orientation"":{""x"":-0.03280089795589447,""y"":0.003879066789522767,""z"":0.9699797034263611,""w"":-0.2409323751926422}}},{""name"":""gate_6"",""pose"":{""position"":{""x"":-1.6731889247894287,""y"":-0.9439036846160889,""z"":0.19917134940624237},""orientation"":{""x"":-0.028909586369991302,""y"":-0.03135630860924721,""z"":0.9990248680114746,""w"":-0.011417984031140804}}}]"
